shortcode,account,url,duration,title,published_datetime,Thumbnail,comment,like,video_play_count,video_view_count,category
CeSvxfdlxoe,narasi.tv,https://www.instagram.com/reel/CeSvxfdlxoe/,17.694,"Enggak ada satupun alasan buat orang ngelakuin selingkuh, karena emang enggak ada pembenaran juga. Semoga kita semua dijauhkan sama hal tersebut. 

@dinclars kolabolator @narasi.ecosystem | WMN by Narasi

#BerFlowerBarengWMN #BerFlowerBareng #WMNbyNarasi #WMNtribe #KolaborasidiNarasi #Selingkuh #Relationship #ToxicRelationship #WMNReels #ReelsWMNTribe",2022-06-02 13:32:05,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/285822924_1315745698913988_4902455997567269476_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Ud13JRKqXpAAX9mXEAG&edm=ACHbZRIBAAAA&vs=795541581418548_1476846921&_nc_vs=HBksFQAYJEdNeFBDUkhFbnYtcXFhd0VBR1Q2X21YQkJRbEVicV9FQUFBRhUAAsgBABUAGCRHRzB4LXhDc1pwQXRXRlVTQU9qbWhsR3BPZkpiYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmoqmmgIDB9T8VAigCQzMsF0AxogxJul41GBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e1729d&ccb=7-5&oe=629D50BB&oh=00_AT8vuoypkwk9x6JzDoqQ24k2ueNqQ_0GwBxq00ZaiTkLnQ&_nc_sid=4a9e64,5,323,12291,6952,Reels
CeSpdDZlJfX,narasi.tv,https://www.instagram.com/reel/CeSpdDZlJfX/,52.06,"Selagi kamu mash sehat, masih bisa beli kopi kekinian, mash bisa ngeluh, TERUS KEJAR MIMPIMU! Jangan sampe di usia tua mimpimu berubah jadi zombie the apocalypse terus ngomong gini ""ciyee nyesel kaann nggak sampe ketemu guvveehh….."" | Get Started

@getstarted.narasi

#JadiPaham #GetStarted #StartWhereYouAt
#Narasi #WellSaid",2022-06-02 12:36:37,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/285286785_1115712899344745_2219277486721868991_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=YMLdRwKgGOEAX8up7Fk&edm=ACHbZRIBAAAA&vs=5306078399479982_4027744512&_nc_vs=HBksFQAYJEdJRWhBUkZwYVFrbnZQWURBTDhrRks0ZGRjd2VicV9FQUFBRhUAAsgBABUAGCRHSXRvQ1JHZFZFX3h5WmtBQVAwUWJSRGMyZGR1YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmoO%2FeuNHG3z8VAigCQzMsF0BKAAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e79d5e&ccb=7-5&oe=629D58EE&oh=00_AT825zmb2sh0PirdRfDZSGZ17znoGhYerpJcfMbqUGElsg&_nc_sid=4a9e64,42,3134,41302,21124,Reels
CeSekuXlGZX,narasi.tv,https://www.instagram.com/reel/CeSekuXlGZX/,38.685,"Ternyata bertahan hidup di Jakarta gak semudah yang dibayangkan. Kayanya benar kata pepatah ibukota lebih kejam dari ibu tiri. Setuju? | NamanyaJugaLyfe

#Narasi #JadiPaham #NamanyaJugaLyfe #Relationship #Karir #Startup #JakartaKeras  #NarasiOriginal",2022-06-02 11:01:09,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/285449529_388762983210814_6958690574971421474_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=4JXrYJ466YUAX-L8R98&edm=ACHbZRIBAAAA&vs=5078084142308446_247384120&_nc_vs=HBksFQAYJEdEbWRBeEVfSDRUdmsyRUJBQ0xEQjQ4MVBKSmdicV9FQUFBRhUAAsgBABUAGCRHSkl0Q0JHanFEd0xPWmdBQUt6dExGelJBSXg0YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm6LnE%2Br2u%2BT8VAigCQzMsF0BDUQYk3S8bGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97efd8c4&ccb=7-5&oe=629C85EF&oh=00_AT93tV-zuJ8OUKQZoEkea_GeF7C33U_X87_EXYrvRw3prg&_nc_sid=4a9e64,11,1202,20065,10675,Reels
CeQsLRklDZU,narasi.tv,https://www.instagram.com/reel/CeQsLRklDZU/,65.736,"Saking viralnya Maudy Ayunda, sampai ada netizen yang book shaming alias nyinyir atas buku-buku bacaannya. Hadehh~ 

Emang baca buku harus genre tertentu aja? 

| Narasi Daily 

@narasinewsroom 

#MaudyAyunda #BookTok #Viral #BookShaming #NarasiDaily #NarasiNewsroom #JadiPaham",2022-06-01 18:31:05,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/284605787_379118084282550_5141063971995594764_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=T8ESSxScu9oAX-ydaae&tn=eFLwVbSMUqQ_bHKN&edm=ACHbZRIBAAAA&vs=544351710471896_149483055&_nc_vs=HBksFQAYJEdGdTk5aEMyMkwxT3psZ0JBQXd3VzZweHVsaEhicV9FQUFBRhUAAsgBABUAGCRHQkJBX3hES05iXzVPQWdDQUtuU1lPWEpjUnNCYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmoP%2FMs8z22D8VAigCQzMsF0BQap%2B%2Bdsi0GBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e46d42&ccb=7-5&oe=629CB6ED&oh=00_AT-Jj_DbgBa3rehD5mrWJzqV1m_YZSO0VWvHp60TYe5n5w&_nc_sid=4a9e64,164,6108,121324,81760,Reels
CeQjy5_FoG1,narasi.tv,https://www.instagram.com/reel/CeQjy5_FoG1/,26.82,"Kenalan sama supermodel, desainer, sekaligus aktivis, Ashley Graham yang semula membenci tubuhnya hingga berbalik menerima dirinya secara utuh dan mengajak perempuan lain di seluruh dunia untuk mencintai diri mereka yang berharga. 

Apa mantra andalanmu? Coba disebut dan diulang sebelum kamu tidur deh. Membantu aku banget loh ini! | WMN by Narasi

@wmnbynarasi 

#BerFlowerBarengWMN #WMNWords #Words #WMNbyNarasi #WMNtribe #AshleyGraham #Afirmasi #Empowerment #SelfLove",2022-06-01 17:08:50,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/284716598_699317911278950_3776509877408059871_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=4XkicmS4SuYAX9bZ5w9&edm=ACHbZRIBAAAA&vs=3300947870190496_737707228&_nc_vs=HBksFQAYJEdEWnVfQkJtMWFfakJud0NBTjlScVlXNTIyZzBicV9FQUFBRhUAAsgBABUAGCRHSG9GX2hCbGlXS09uV0VCQUVJWDluQjVYbHQ4YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmvoaF6YefpEAVAigCQzMsF0A6xBiTdLxqGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e22c3b&ccb=7-5&oe=629CEEB6&oh=00_AT9VpwVN7Y7rp40egjCzharW53llIIRpktDxF2-PLK1b9A&_nc_sid=4a9e64,4,918,23240,10757,Reels
CeQdIoAlsAj,narasi.tv,https://www.instagram.com/reel/CeQdIoAlsAj/,60.024,"Walaupun hari libur masih dihubungi boss, aku tetap terima pekerjaan ini demi tabungan Rp 100 juta di umur 25 tahun. Semangat buat kamu sobat hustle. | InMySotoyOpinion 

#Narasi #JadiPaham #IMSO #HustleCulture #WorkHardPlayHard #KerjaKeras #InMySotoyOpinion",2022-06-01 16:11:58,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/285586898_531493718759198_1821708027705483936_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UTPW9HKhmmwAX_DjHan&edm=ACHbZRIBAAAA&vs=721629525547356_387175913&_nc_vs=HBksFQAYJEdOSzFCUkVlbDA0R1pPTUJBS0RpM0tQTUFVZ1picV9FQUFBRhUAAsgBABUAGCRHQmF4QnhIM21Od1Jqb3NCQUZRd2hndmotYlFVYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmzsO7voG01T8VAigCQzMsF0BN%2B6XjU%2FfPGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e66d08&ccb=7-5&oe=629CEE61&oh=00_AT-Q60iCDTOXzQuyQ-WjL2zW2_YGcAsyg3t0slBulZ0A6A&_nc_sid=4a9e64,33,2208,54877,27075,Reels
CeQWvxQFqkf,narasi.tv,https://www.instagram.com/reel/CeQWvxQFqkf/,60.117,"Yuk di simak dan diikuti tips kalau kalian baru terima gajian dari si paling bijak 🥲Siapa tau bisa ikutan bijak ngeHALUnya. Itu keranjang udah pada numpuk, dianggurin aja nih? udah di check out aja kali 😍👜💸 | Get Started

@getstarted.narasi 

#JadiPaham #GetStarted #StartWhereYouAt #Narasi",2022-06-01 15:15:59,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/285205997_544752760388909_5341536505932207342_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=TOxZbeHw71wAX8TGkVI&tn=eFLwVbSMUqQ_bHKN&edm=ACHbZRIBAAAA&vs=1070262370368796_1309839491&_nc_vs=HBksFQAYJEdPM2wteEF0LWNVaWNfOEJBTzdVM3NZbTh5QkticV9FQUFBRhUAAsgBABUAGCRHTEhpQlJHTkFYWTZpNGNBQUpfTzJsQmZRd3BFYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmgtqaw4Ov0T8VAigCQzMsF0BOCHKwIMScGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97eb6e5b&ccb=7-5&oe=629C898F&oh=00_AT9zzYNJYjEapjm0GgH0QqYxo5KsJ4MdhGVOB4FhTLrkcg&_nc_sid=4a9e64,6,399,12637,5355,Reels
CeQPkollj_a,narasi.tv,https://www.instagram.com/reel/CeQPkollj_a/,56.75,"Apa itu tanggal muda? Abis gajian, eh semenit kemudian abis buat bayar sana sinii. Gini amat nasib jadi Sandwich Generation, mau healing dikit aja ga bisa :(. | InMySotoyOpinion

Saksikan Selengkapnya di Youtube Narasi!

#IMSO #InMySotoyOpinion",2022-06-01 14:13:07,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/10000000_760831811603369_3551101259378285850_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Re_M9AWETnwAX_dQ-Ak&edm=ACHbZRIBAAAA&vs=413508543969717_3524169072&_nc_vs=HBksFQAYJEdJQ1dtQUNwUzkzMV9MTUNBQnBkcl9iSEMwZ3hicV9FQUFBRhUAAsgBABUAGCRHTHg3X3hDejNXTjREOTRCQVB3MHZ5amEwREVPYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm2o348bqevUAVAigCQzMsF0BMVT987ZFoGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e8f6f6&ccb=7-5&oe=629C7866&oh=00_AT_bSP_pMvAQ1JxrjJU7dPQSqQ7tviQBpNOynmynIhRprA&_nc_sid=4a9e64,128,5825,94178,49122,Reels
CePyOG3lmyh,narasi.tv,https://www.instagram.com/reel/CePyOG3lmyh/,60.024,"Sekarang jadi paham kan kalau perbedaan itu yang menyatukan kita semua?

Walaupun memiliki latar belakang dan kepercayaan yang berbeda tapi kita tetap satu “Bhinneka Tunggal Ika”. 

Selamat Hari Pancasila!

#JadiPaham #Narasi #HariPancasila",2022-06-01 09:56:52,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/285518249_324503519860179_3836779866662609864_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=3CAf-4QT4FEAX-gfpzI&edm=ACHbZRIBAAAA&vs=342466547956533_1752410443&_nc_vs=HBksFQAYJEdLbXBCQkhUbFFkZElpY0JBTWlqeV9uMV9qNDFicV9FQUFBRhUAAsgBABUAGCRHSzk3X3hBOFpWTmFnWUVCQUlRLUFfWXY4dXRHYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmyuyRy4Lr7D8VAigCQzMsF0BN%2B6XjU%2FfPGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97eae171&ccb=7-5&oe=629D4699&oh=00_AT89Oj7nTROx4skRdJgd-N5ip437gZoitk7wa19gnIND-g&_nc_sid=4a9e64,4,522,15760,4843,Reels
CeN-rQkFDRb,narasi.tv,https://www.instagram.com/reel/CeN-rQkFDRb/,14.165,"Hayo siapa nih yang relate? 

Perasaan baru aja gajian, tapi abisnya cepet banget kayak numpang lewat. Penyebab ya gak jauh dari tagihan cicilan dan kebutuhan ku yang segunung.☺️🙏🏼

Jadi nikmatin aja deh, yuk!🤣 | Narasi

#Narasi #JadiPaham",2022-05-31 17:05:34,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/285467519_1733973783614975_3901231607043857803_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=xklj9lp5zDwAX8l0fld&edm=ACHbZRIBAAAA&vs=424551002824029_1673924730&_nc_vs=HBksFQAYJEdILWpBeEgtRld3N0Npa0dBSXNkWUJ4NjlTTTJicV9FQUFBRhUAAsgBABUAGCRHQ3gxQXhIdjBnR0RBeWtCQUxQOEEwTlRzSkpsYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmjpO71PrQ4D8VAigCQzMsF0AsMzMzMzMzGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e0e78c&ccb=7-5&oe=629CF9F4&oh=00_AT-wuN_w1dhjIzT-jzdtQDBMh9X8-tzIjO1MTwyxfvJ3Jg&_nc_sid=4a9e64,36,2277,52582,28254,Reels
CeNsX7kFkwu,narasi.tv,https://www.instagram.com/reel/CeNsX7kFkwu/,58.654,"Enggak ngerti lagi deh, uang segitu pertanggung jawabannya lemah. Itu kan uang buat rakyat kurang mampu. Lagian yang terima bansos tapi orang mampu enggak malu apa ya? | InMySotoyOpinion 

#Narasi #JadiPaham #IMSO # #BPK #BangSotoy #BantuanSosial #InMySotoyOpinion",2022-05-31 14:26:23,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/285271138_431701088373528_5395582974471051323_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=zqNM7refgGUAX8VR2Zm&tn=eFLwVbSMUqQ_bHKN&edm=ACHbZRIBAAAA&vs=5086662891422144_3837228698&_nc_vs=HBksFQAYJEdHTGtBQkVZaXdVX29ZZ0JBRHNZZnRVZzl1QkticV9FQUFBRhUAAsgBABUAGCRHTk9sQkJIUV9BaEVBWnNBQUlzZmVQa1FWSVlwYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm1sH82syN%2Bz8VAigCQzMsF0BNTMzMzMzNGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97e31a47&ccb=7-5&oe=629D2FC7&oh=00_AT8j4mEgQZlISS-8pi4_Ite0fyaIgRz8Ktde_CP9eIPSRg&_nc_sid=4a9e64,155,3898,82885,39748,Reels
CeNmtUqFUqV,narasi.tv,https://www.instagram.com/reel/CeNmtUqFUqV/,59.931,"Terima kasih @sakdiyah.maruf sudah menyuarakan ini di Oslo Freedom Forum yang berlangsung pada 23-25 Mei 2022 lalu!

Betapa perempuan butuh RUANG AMAN!!!

Credit: YouTube/Oslo Freedom Forum | WMN by Narasi

@wmnbynarasi 

#BerFlowerBarengWMN #BerFlowerBareng #WMNbyNarasi #WMNtribe #SakdiyahMaruf #Motivasi #WMNWords #WomenEmpowerment #WMNReels",2022-05-31 13:36:54,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/284126070_130004606325203_9074778290871942107_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=LQcVK4OprLoAX-JxjJ0&edm=ACHbZRIBAAAA&vs=558526949043201_2778562316&_nc_vs=HBksFQAYJEdIWnI3eERURVdFT1BYWUFBTnM3MlhyR0Z2QjlicV9FQUFBRhUAAsgBABUAGCRHRHJaOXhDdEJjOTdvc2NFQUo2VXd6QUZtWW9EYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmypjf2Z2%2F3j8VAigCQzMsF0BN7tkWhysCGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=3c97eb49c4&ccb=7-5&oe=629D54AE&oh=00_AT9W1XFshRK7Md-zLvmZppVkOxiHFoGYCgy5P-ZKEQZ6Kw&_nc_sid=4a9e64,32,2124,73105,33319,Reels
CeNfkpaF_o0,narasi.tv,https://www.instagram.com/reel/CeNfkpaF_o0/,45.372,"Ngebedain hubungan pertemanan secara profesional dan pribadi emang bagus, sih. Tapi terkadang kemampuan bergibah juga diperlukan biar nggak jadi bahan gibah itu sendiri. Betul apa betul? | Get Started

Inspirasi: @triarona (Tiktok/IG)

@charissaidan @asminurais kolaborator @narasi.ecosystem

@getstarted.narasi 

#kolaborasidinarasi #JadiPaham #GetStarted #StartWhereYouAt #Narasi",2022-05-31 12:34:47,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/284295831_721409878908625_5304287149706628510_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=bJugzZI1ckMAX8cL6lo&tn=eFLwVbSMUqQ_bHKN&edm=ACHbZRIBAAAA&vs=1271827203346850_1333304864&_nc_vs=HBksFQAYJEdKY0M4aERSM3BGVEhwQUNBSjdON2pBUG5aeEpicV9FQUFBRhUAAsgBABUAGCRHQ1FYLVJBV3BTd1B0SWNCQU9TY2twSWpQSFk1YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm6MaG1NCd%2BT8VAigCQzMsF0BGqp%2B%2Bdsi0GBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=6322170990&ccb=7-5&oe=629D930D&oh=00_AT8Q83V4Aje6ID-nc4M77lPK3BCc2-1ZkwRKSLHrwP_UJQ&_nc_sid=4a9e64,251,11031,217865,113609,Reels
CeNYWwklb_0,narasi.tv,https://www.instagram.com/reel/CeNYWwklb_0/,41.611,"Nggak salah denger nih? Keseluruhan raw footage film Top Gun: Maverick sampe 800 jam?! Salut deh sama tim editor yang harus sortir gambar sebanyak itu! 

Btw ada fun fact lain nih yang dibocorin sutradara Joe Kosinski tentang alasan timnya memilih untuk nggak pake green screen di film ini. Biar gak kepo sampe kebawa mimpi, mending tonton video selengkapnya di www.narasi.tv atau klik link di bio!

Kalo kamu udah nonton filmnya, share di kolom komen dong review darimu! Aku tunggu~ | Narasi Creative Ecosystem

#Narrative #TopGun #Narasi #JadiPaham",2022-05-31 11:31:20,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/284586285_320082263488790_6434882908441045616_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=IFaaOMzqHOoAX-sAM2e&edm=ACHbZRIBAAAA&vs=339246064992800_1549784005&_nc_vs=HBksFQAYJEdDMXg5aEFXT1ozMUhDTUJBSEJxM0dqcFMwMVpicV9FQUFBRhUAAsgBABUAGCRHRzhGQVJGdnQtUjBzczRFQUdDanQ2dzVqUjEzYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmroK72prB3z8VAigCQzMsF0BExDlYEGJOGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=6322199459&ccb=7-5&oe=629CDF98&oh=00_AT-UC3nSytxz57zFfZbbwmZRaoKMdA8NQEZZCO_Uis6GbA&_nc_sid=4a9e64,1,205,11067,3242,Reels
CeNRXRBFB_e,narasi.tv,https://www.instagram.com/reel/CeNRXRBFB_e/,39.591,"Jawabannya sih gampang ‘Bagi waktu aja, kok’. Tapi pas dipraktikan kenapa sulit ya? Kamu ngerasain kaya gini? | NamanyaJugaLyfe

 #Narasi #JadiPaham #NamanyaJugaLyfe #Relationship #Pacar #TemanSejati #Sahabat  #NarasiOriginal",2022-05-31 10:31:04,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/284896700_154955513706041_1690224308300199235_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=HSIiO2QNj6cAX-XEYIm&edm=ACHbZRIBAAAA&vs=5156652824380560_3051307088&_nc_vs=HBksFQAYJEdMd3RfeEE1dGxsazdvd0FBRU8xOXA0TjRuUVhicV9FQUFBRhUAAsgBABUAGCRHQTVpNHhBNWlselBZb01CQUtaSkJZcVJUcEV5YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm%2Bq2LlMK46T8VAigCQzMsF0BDxDlYEGJOGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=63221ca32e&ccb=7-5&oe=629D3DB9&oh=00_AT-szURX7u3kqeXhoQQJ4f5AcJFio4iNiDliEhF_KjU6cg&_nc_sid=4a9e64,19,1712,45412,23566,Reels
CeLHzdelKsG,narasi.tv,https://www.instagram.com/reel/CeLHzdelKsG/,5.411,"Moto aku dan pasanganku, menua bersama dan menggemoy bersama, hehe.
@ignyaesty | WMN by Narasi

@wmnbynarasi 
 
#BerFlowerBarengWMN #BerFlowerBareng #WMNbyNarasi #WMNtribe #Repost #Couple #Relationship #Happiness #WMNReels #ReelsWMNTribe #Family #Narasi #JadiPaham",2022-05-30 14:27:57,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/284829746_822485278731707_6613044947904597983_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=csutEFLhsRkAX-MYgeB&edm=ACHbZRIBAAAA&vs=774023840641916_1641684823&_nc_vs=HBksFQAYJEdESW9faEM3TGQtR0Nfd0NBTl9QaTd0WFFjWmJicV9FQUFBRhUAAsgBABUAGCRHQ05mN3hDOVhoRkNBcGdBQUZEYU1BeG5qR0oyYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmytPnpfG75D8VAigCQzMsF0AVmZmZmZmaGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=63221d6ae4&ccb=7-5&oe=629C6888&oh=00_AT-hd6_Ts2OfBFOwGKIhrutaXSWkpUaiHCQ9xFI-ZL_h4w&_nc_sid=4a9e64,130,9193,310065,163356,Reels
